104.19.146.190:2087#US 电信优选[223ms]
104.17.223.42:2053#US 电信优选[223ms]
104.17.126.250:2083#US 电信优选[223ms]
104.19.35.48:443#US 电信优选[224ms]
172.67.69.164:443#DE 电信优选[225ms]
104.16.151.2:2083#US 电信优选[225ms]
104.17.145.172:2096#US 电信优选[227ms]
104.17.182.88:2053#US 电信优选[227ms]
104.26.5.189:2096#DE 电信优选[228ms]
104.17.30.11:2053#US 电信优选[229ms]
104.17.27.188:443#US 电信优选[229ms]
104.17.27.228:2096#US 电信优选[230ms]
91.193.59.66:443#US 电信优选[230ms]
172.66.1.34:2087#US 电信优选[232ms]
104.19.34.91:2083#US 电信优选[233ms]
104.19.35.184:2083#US 电信优选[233ms]
104.17.216.120:8443#US 电信优选[234ms]
104.17.113.21:2096#US 电信优选[234ms]
104.17.63.217:2087#US 电信优选[234ms]
104.17.150.244:2053#US 电信优选[235ms]
172.66.0.165:443#US 电信优选[235ms]
172.66.3.242:2087#US 电信优选[235ms]
104.19.50.183:443#US 电信优选[236ms]
104.19.34.138:2087#US 电信优选[236ms]
104.16.250.203:2096#US 电信优选[237ms]
172.67.76.184:2053#DE 电信优选[239ms]
104.17.56.109:443#US 电信优选[239ms]
104.17.163.55:2087#US 电信优选[239ms]
104.17.152.254:2087#US 电信优选[241ms]
104.19.33.201:2087#US 电信优选[241ms]
104.17.166.252:2096#US 电信优选[248ms]
104.17.219.60:2096#US 电信优选[248ms]
104.17.183.220:2053#US 电信优选[248ms]
104.17.222.214:2096#US 电信优选[249ms]
104.17.119.22:2096#US 电信优选[253ms]
104.19.144.218:8443#US 电信优选[253ms]
104.17.171.242:2096#US 电信优选[254ms]
104.17.30.142:2053#US 电信优选[256ms]
104.17.24.73:2053#US 电信优选[256ms]
104.16.146.73:2096#US 电信优选[261ms]
104.16.246.17:443#US 电信优选[261ms]
104.16.154.160:443#US 电信优选[262ms]
91.193.59.94:443#US 电信优选[263ms]
104.17.119.10:2087#US 电信优选[265ms]
104.17.183.122:443#US 电信优选[268ms]
104.17.106.229:8443#US 电信优选[280ms]
104.17.16.96:2083#US 电信优选[283ms]
104.19.34.126:2053#US 电信优选[371ms]
104.17.163.11:2083#US 电信优选[380ms]
104.17.98.20:443#US 电信优选[382ms]
104.17.210.50:443#US 电信优选[391ms]
104.19.35.44:2053#US 电信优选[405ms]
172.64.52.42:443#NRT-JP-443-83ms
162.159.45.97:443#NRT-JP-443-75ms
162.159.39.74:443#NRT-JP-443-81ms
172.64.229.254:443#NRT-JP-443-69ms
172.64.53.113:443#NRT-JP-443-85ms
162.159.44.83:443#NRT-JP-443-84ms
162.159.38.62:443#NRT-JP-443-80ms
108.162.198.249:443#NRT-JP-443-76ms
